;TECH;TUR;FIN
201502;9.59;6.54;10.42
201503;-4.36;-0.25;-1.88
201504;1.74;-5.68;4.14
201505;3.39;1.09;3.88
201506;-4.78;-3.53;2.70
201507;-2.65;-0.62;2.17
201508;-7.02;2.84;-7.13
201509;-3.64;-2.4;-5.17
201510;9.88;11.26;5.97
201511;-0.19;-6.63;3.81
201512;-8.47;2.91;-2.08
201601;-5.46;-15.38;-11.41
201602;-2.93;-0.72;-6.58
201603;10.42;7.01;5.36
201604;-12.82;-3.64;6.83
201605;6.45;-3.1;2.95
201606;-5.24;-5.67;-6.80
201607;9.43;7.87;3.99
201608;1.67;-0.99;6.71
201609;3.85;33.02;-2.61
201610;1.4;2.14;4.27
201611;-1.64;13.25;18.74
201612;3.26;4.52;6.80
201701;4.17;3.4;-0.99
201702;8.83;1.72;7.56
201703;4.41;6.67;-3.98
201704;0.43;1.14;-0.99
201705;5.3;12.21;-5.17
201706;-4.72;-6.92;9.38
201707;3.11;3.43;0.07
201708;8.37;1.57;1.09
201709;-4.62;4.02;5.41
201710;9.74;5.72;4.88
201711;1.53;5.36;3.52
201712;-1.26;5.71;3.18
201801;2.75;7.14;6.79
201802;3.54;-4.47;0.01
201803;-4.73;-4.13;-5.99
201804;-2.02;-1.04;-1.05
201805;10.18;-1.06;-2.08
201806;-0.69;-6.24;-2.73
201807;3.43;-0.23;8.55
201808;14.46;0.01;-0.16
201809;0.03;4.62;-2.59
201810;-5.27;-13.81;7.07
201811;-9.93;-0.37;-9.73
201812;-10.09;-6.72;-13.81
201901;3.86;7.46;8.91
201902;5.73;7.65;1.25
201903;7.36;-1.31;-4.32
201904;6.99;7.6;12.78
201905;-8.39;-7.25;-9.99
201906;10.38;10.56;5.97
201907;2.97;-2.18;3.20
201908;-0.33;-9.44;-6.79
201909;2.91;-1.47;4.64
201910;6.95;1.6;6.16
201911;6.39;10.86;5.76
201912;6.52;8.22;3.98
202001;5.94;-8.77;-5.74
202002;-7.99;-12.5;-12.77
202003;-5.19;-38.62;-23.81
202004;14.27;20.24;7.99
202005;5.2;-3.16;3.39
202006;13.36;-3.14;-6.78
202007;1.71;-2.26;5.38
202008;24.73;22.8;4.78
202009;-9.32;-9.92;-8.24
202010;-3.95;0.11;3.82
202011;8.63;39.15;17.86
202012;6.79;2.14;9.35
202101;5.62;-11.89;0.80
202102;-9.87;27.59;14.95
202103;1.58;0.31;5.29
202104;5.6;0.31;1.27
202105;-3.42;-2.76;6.16
202106;9.43;-5.16;-4.58
202107;6.02;7.85;-4.08
202108;4.04;-7.71;7.20
202109;-5.3;12.06;1.61
202110;9.52;4.61;3.46
202111;4.63;-7.61;-4.75
202112;5.12;12.04;-2.39
202201;-6.09;-2.61;-3.51
202202;-3.16;8.46;-1.03
202203;6.93;1.1;-8.42
202204;-11.55;1.33;-12.80
202205;-4.87;-1.11;7.84
202206;-5.8;-19.82;-14.90
202207;13.97;17.59;4.47
202208;-5.13;-2.76;1.25
202209;-10.78;-10.58;-9.50
202210;7.99;12.24;18.02
202211;-3.11;-1.86;7.37
202212;-8.74;-7.72;-4.69
202301;8.52;16.25;4.07
202302;0.76;-5.69;0.81
202303;15.39;-2.12;-9.03
202304;1.98;2.18;4.67
202305;5.26;-1.15;-1.25
202306;7.11;7.22;5.66
202307;0.28;8.51;7.68
202308;-3.44;2.96;-6.76
202309;-7.31;-6.11;-1.60
202310;1.33;-5.69;-7.03
202311;13.01;11.02;13.55
202312;0.04;8.55;11.02
